District_clean,State_clean,fiscal_year,penta1,penta2,penta3,penta1_private,penta1_urban
JHABUA,MADHYA PRADESH,2017-2018,31227.0,30110.0,28798.0,0.0,292.0
JHABUA,MADHYA PRADESH,2018-2019,31118.0,29562.0,27477.0,0.0,260.0
JHABUA,MADHYA PRADESH,2019-2020,33919.0,32551.0,31018.0,0.0,227.0
JHAJJAR,HARYANA,2017-2018,18449.0,17825.0,17592.0,247.0,6886.0
JHAJJAR,HARYANA,2018-2019,17155.0,16543.0,16095.0,43.0,3672.0
JHAJJAR,HARYANA,2019-2020,16581.0,16581.0,16233.0,83.0,3580.0
JHALAWAR,RAJASTHAN,2017-2018,27212.0,26945.0,26781.0,0.0,1835.0
JHALAWAR,RAJASTHAN,2018-2019,28478.0,27821.0,27529.0,0.0,2011.0
JHALAWAR,RAJASTHAN,2019-2020,27549.0,26917.0,26418.0,0.0,1706.0
JHANSI,UTTAR PRADESH,2017-2018,44145.0,43548.0,43359.0,0.0,10134.0
JHANSI,UTTAR PRADESH,2018-2019,47091.0,44918.0,44918.0,783.0,10667.0
JHANSI,UTTAR PRADESH,2019-2020,51516.0,50510.0,50510.0,2836.0,13380.0
JHARGRAM,WEST BENGAL,2017-2018,17163.0,16946.0,16735.0,0.0,98.0
JHARGRAM,WEST BENGAL,2018-2019,16835.0,16467.0,16467.0,0.0,87.0
JHARGRAM,WEST BENGAL,2019-2020,16522.0,16263.0,16215.0,0.0,61.0
JHARSUGUDA,ODISHA,2017-2018,7670.0,7669.0,7541.0,0.0,236.0
JHARSUGUDA,ODISHA,2018-2019,7932.0,7771.0,7771.0,0.0,1321.0
JHARSUGUDA,ODISHA,2019-2020,7690.0,7690.0,7690.0,0.0,1472.0
JHUNJHUNUN,RAJASTHAN,2017-2018,39746.0,39564.0,39564.0,1476.0,3704.0
JHUNJHUNUN,RAJASTHAN,2018-2019,36893.0,36383.0,36124.0,1229.0,3867.0
JHUNJHUNUN,RAJASTHAN,2019-2020,34913.0,34371.0,34308.0,796.0,3676.0
JIND,HARYANA,2017-2018,23070.0,21993.0,21955.0,11.0,4042.0
JIND,HARYANA,2018-2019,23396.0,22268.0,22268.0,10.0,1686.0
JIND,HARYANA,2019-2020,25533.0,25436.0,25266.0,1740.0,3681.0
JODHPUR,RAJASTHAN,2017-2018,76558.0,72909.0,71710.0,957.0,18002.0
JODHPUR,RAJASTHAN,2018-2019,75889.0,72212.0,70969.0,2364.0,21560.0
JODHPUR,RAJASTHAN,2019-2020,73495.0,69101.0,67708.0,2582.0,22884.0
JOGULAMBA GADWAL,TELANGANA,2017-2018,12940.0,12940.0,12866.0,0.0,1907.0
JOGULAMBA GADWAL,TELANGANA,2018-2019,12864.0,12428.0,12428.0,0.0,1774.0
JOGULAMBA GADWAL,TELANGANA,2019-2020,12649.0,12337.0,12337.0,0.0,1531.0
JORHAT,ASSAM,2017-2018,17483.0,17173.0,16985.0,254.0,1512.0
JORHAT,ASSAM,2018-2019,19989.0,19699.0,19391.0,991.0,2812.0
JORHAT,ASSAM,2019-2020,18105.0,17872.0,17511.0,513.0,2422.0
JUNAGADH,GUJARAT,2017-2018,22052.0,21353.0,21178.0,0.0,6455.0
JUNAGADH,GUJARAT,2018-2019,20677.0,19668.0,19513.0,0.0,6906.0
JUNAGADH,GUJARAT,2019-2020,21725.0,20637.0,20637.0,0.0,7894.0
JYOTIBA PHULE NAGAR,UTTAR PRADESH,2017-2018,43577.0,40485.0,39180.0,0.0,4883.0
JYOTIBA PHULE NAGAR,UTTAR PRADESH,2018-2019,40567.0,35552.0,33874.0,0.0,4235.0
JYOTIBA PHULE NAGAR,UTTAR PRADESH,2019-2020,49118.0,46626.0,46310.0,0.0,6151.0
KACHCHH,GUJARAT,2017-2018,49698.0,48395.0,48395.0,1174.0,12114.0
KACHCHH,GUJARAT,2018-2019,47322.0,45635.0,45635.0,352.0,12442.0
KACHCHH,GUJARAT,2019-2020,42769.0,41105.0,41105.0,775.0,11604.0
KAIMUR BHABUA,BIHAR,2017-2018,38269.0,36993.0,35469.0,0.0,4963.0
KAIMUR BHABUA,BIHAR,2018-2019,37945.0,36802.0,35068.0,0.0,4915.0
KAIMUR BHABUA,BIHAR,2019-2020,42883.0,42883.0,42883.0,0.0,6414.0
KAITHAL,HARYANA,2017-2018,20530.0,19780.0,19345.0,112.0,3475.0
KAITHAL,HARYANA,2018-2019,21425.0,20938.0,20416.0,126.0,4880.0
KAITHAL,HARYANA,2019-2020,18880.0,18850.0,18503.0,0.0,2465.0
KALAHANDI,ODISHA,2017-2018,26337.0,25646.0,24736.0,0.0,701.0
KALAHANDI,ODISHA,2018-2019,27206.0,26911.0,26414.0,0.0,724.0
KALAHANDI,ODISHA,2019-2020,25733.0,25614.0,25614.0,0.0,662.0
KALIMPONG,WEST BENGAL,2017-2018,2313.0,2313.0,2302.0,0.0,475.0
KALIMPONG,WEST BENGAL,2018-2019,2158.0,2111.0,2111.0,0.0,360.0
KALIMPONG,WEST BENGAL,2019-2020,2201.0,2201.0,2201.0,0.0,432.0
KAMAREDDY,TELANGANA,2017-2018,17697.0,17292.0,17292.0,0.0,2657.0
KAMAREDDY,TELANGANA,2018-2019,16722.0,16314.0,16314.0,0.0,2269.0
KAMAREDDY,TELANGANA,2019-2020,16471.0,16471.0,16471.0,0.0,1902.0
KAMRUP M,ASSAM,2017-2018,22371.0,22145.0,22145.0,214.0,16914.0
KAMRUP M,ASSAM,2018-2019,23177.0,23047.0,23018.0,697.0,18075.0
KAMRUP M,ASSAM,2019-2020,22931.0,22931.0,22931.0,667.0,17904.0
KAMRUP R,ASSAM,2017-2018,29349.0,28944.0,28401.0,0.0,0.0
KAMRUP R,ASSAM,2018-2019,27688.0,27476.0,27206.0,0.0,0.0
KAMRUP R,ASSAM,2019-2020,27998.0,27791.0,27771.0,0.0,0.0
KANCHEEPURAM,TAMIL NADU,2017-2018,42450.0,42450.0,42450.0,3112.0,10233.0
KANCHEEPURAM,TAMIL NADU,2018-2019,44931.0,44438.0,44438.0,3845.0,12623.0
KANCHEEPURAM,TAMIL NADU,2019-2020,47820.0,47641.0,47641.0,3644.0,11796.0
KANDHAMAL,ODISHA,2017-2018,14124.0,13770.0,13561.0,0.0,0.0
KANDHAMAL,ODISHA,2018-2019,14259.0,14259.0,14259.0,0.0,0.0
KANDHAMAL,ODISHA,2019-2020,14033.0,13959.0,13900.0,0.0,0.0
KANGRA,HIMACHAL PRADESH,2017-2018,21745.0,21745.0,21745.0,197.0,109.0
KANGRA,HIMACHAL PRADESH,2018-2019,21501.0,21281.0,21276.0,11.0,97.0
KANGRA,HIMACHAL PRADESH,2019-2020,20987.0,20987.0,20926.0,3.0,87.0
KANKER,CHHATTISGARH,2017-2018,12285.0,11674.0,11674.0,0.0,388.0
KANKER,CHHATTISGARH,2018-2019,12795.0,12582.0,12582.0,0.0,432.0
KANKER,CHHATTISGARH,2019-2020,11937.0,11872.0,11872.0,0.0,399.0
KANNAUJ,UTTAR PRADESH,2017-2018,37253.0,35451.0,33942.0,0.0,1450.0
KANNAUJ,UTTAR PRADESH,2018-2019,39825.0,36596.0,35070.0,0.0,2055.0
KANNAUJ,UTTAR PRADESH,2019-2020,43248.0,40794.0,40066.0,0.0,2578.0
KANNIYAKUMARI,TAMIL NADU,2017-2018,21770.0,21766.0,21667.0,4407.0,6297.0
KANNIYAKUMARI,TAMIL NADU,2018-2019,23296.0,23296.0,23296.0,3817.0,6284.0
KANNIYAKUMARI,TAMIL NADU,2019-2020,22912.0,22912.0,22912.0,3234.0,5757.0
KANNUR,KERALA,2017-2018,41124.0,38799.0,38104.0,1208.0,6937.0
KANNUR,KERALA,2018-2019,40154.0,38559.0,37783.0,3085.0,5917.0
KANNUR,KERALA,2019-2020,37991.0,36435.0,35706.0,2502.0,5711.0
KANPUR DEHAT,UTTAR PRADESH,2017-2018,36578.0,35260.0,34692.0,0.0,0.0
KANPUR DEHAT,UTTAR PRADESH,2018-2019,38153.0,35645.0,35200.0,42.0,42.0
KANPUR DEHAT,UTTAR PRADESH,2019-2020,40429.0,39086.0,38911.0,0.0,0.0
KANPUR NAGAR,UTTAR PRADESH,2017-2018,113122.0,113122.0,113122.0,0.0,73303.0
KANPUR NAGAR,UTTAR PRADESH,2018-2019,87146.0,85517.0,84876.0,0.0,49458.0
KANPUR NAGAR,UTTAR PRADESH,2019-2020,110067.0,107363.0,107363.0,0.0,70074.0
KAPURTHALA,PUNJAB,2017-2018,11792.0,11327.0,11327.0,566.0,2511.0
KAPURTHALA,PUNJAB,2018-2019,11960.0,11591.0,11591.0,630.0,2511.0
KAPURTHALA,PUNJAB,2019-2020,11670.0,11453.0,11453.0,378.0,2172.0
KARAIKAL,PUDUCHERRY,2017-2018,2337.0,2246.0,2228.0,0.0,729.0
KARAIKAL,PUDUCHERRY,2018-2019,2661.0,2471.0,2445.0,0.0,1092.0
KARAIKAL,PUDUCHERRY,2019-2020,2401.0,2344.0,2225.0,0.0,786.0
KARAULI,RAJASTHAN,2017-2018,32871.0,31263.0,30664.0,0.0,2254.0
KARAULI,RAJASTHAN,2018-2019,34050.0,33239.0,32796.0,2238.0,5006.0
KARAULI,RAJASTHAN,2019-2020,32888.0,31882.0,31377.0,2205.0,4535.0
KARBI ANGLONG,ASSAM,2017-2018,20966.0,20966.0,20949.0,8.0,459.0
KARBI ANGLONG,ASSAM,2018-2019,20113.0,20113.0,19816.0,0.0,1335.0
KARBI ANGLONG,ASSAM,2019-2020,20264.0,20264.0,20138.0,0.0,1122.0
KARGIL,JAMMU & KASHMIR,2017-2018,2393.0,2393.0,2393.0,0.0,0.0
KARGIL,JAMMU & KASHMIR,2018-2019,2773.0,2494.0,2494.0,0.0,0.0
KARGIL,JAMMU & KASHMIR,2019-2020,2333.0,2229.0,2229.0,0.0,0.0
KARIM NAGAR,TELANGANA,2017-2018,19234.0,18908.0,18783.0,0.0,5258.0
KARIM NAGAR,TELANGANA,2018-2019,16901.0,15985.0,15875.0,0.0,3684.0
KARIM NAGAR,TELANGANA,2019-2020,16525.0,15963.0,15963.0,0.0,4011.0
KARIMGANJ,ASSAM,2017-2018,28112.0,26878.0,25922.0,6.0,360.0
KARIMGANJ,ASSAM,2018-2019,29384.0,28244.0,27626.0,2.0,480.0
KARIMGANJ,ASSAM,2019-2020,30032.0,29455.0,28804.0,0.0,411.0
KARNAL,HARYANA,2017-2018,28976.0,28367.0,27984.0,0.0,6613.0
KARNAL,HARYANA,2018-2019,29355.0,28504.0,28504.0,511.0,5813.0
KARNAL,HARYANA,2019-2020,29079.0,29079.0,29004.0,471.0,6488.0
KARUR,TAMIL NADU,2017-2018,12171.0,12171.0,12035.0,1141.0,2577.0
KARUR,TAMIL NADU,2018-2019,12402.0,12402.0,12283.0,1051.0,2769.0
KARUR,TAMIL NADU,2019-2020,13129.0,13049.0,12812.0,813.0,2666.0
KASARAGOD,KERALA,2017-2018,33571.0,33476.0,31893.0,7419.0,282.0
KASARAGOD,KERALA,2018-2019,23909.0,23390.0,22789.0,461.0,591.0
KASARAGOD,KERALA,2019-2020,23138.0,22577.0,22056.0,213.0,583.0
KASHI RAM NAGAR,UTTAR PRADESH,2017-2018,35675.0,33810.0,33252.0,9.0,1798.0
KASHI RAM NAGAR,UTTAR PRADESH,2018-2019,40773.0,34009.0,33338.0,32.0,2754.0
KASHI RAM NAGAR,UTTAR PRADESH,2019-2020,40524.0,38550.0,38550.0,0.0,2821.0
KATHUA,JAMMU & KASHMIR,2017-2018,11232.0,10856.0,10769.0,0.0,518.0
KATHUA,JAMMU & KASHMIR,2018-2019,11145.0,10879.0,10623.0,0.0,626.0
KATHUA,JAMMU & KASHMIR,2019-2020,12012.0,11572.0,11572.0,0.0,666.0
KATIHAR,BIHAR,2017-2018,95088.0,92271.0,87871.0,0.0,6367.0
KATIHAR,BIHAR,2018-2019,94223.0,87851.0,83344.0,833.0,5448.0
KATIHAR,BIHAR,2019-2020,97750.0,95397.0,90368.0,0.0,6138.0
KATNI,MADHYA PRADESH,2017-2018,21949.0,21509.0,21509.0,171.0,1394.0
KATNI,MADHYA PRADESH,2018-2019,26251.0,25041.0,25041.0,182.0,1837.0
KATNI,MADHYA PRADESH,2019-2020,25992.0,25749.0,25749.0,337.0,1729.0
KAUSHAMBI,UTTAR PRADESH,2017-2018,42744.0,40904.0,39784.0,0.0,277.0
KAUSHAMBI,UTTAR PRADESH,2018-2019,39777.0,36727.0,36727.0,0.0,244.0
KAUSHAMBI,UTTAR PRADESH,2019-2020,46427.0,44642.0,44642.0,0.0,245.0
KAWARDHA,CHHATTISGARH,2017-2018,17069.0,16858.0,16761.0,156.0,0.0
KAWARDHA,CHHATTISGARH,2018-2019,17008.0,17008.0,17008.0,55.0,0.0
KAWARDHA,CHHATTISGARH,2019-2020,17948.0,17923.0,17923.0,27.0,854.0
KENDRAPARA,ODISHA,2017-2018,21567.0,21268.0,20778.0,0.0,0.0
KENDRAPARA,ODISHA,2018-2019,20607.0,20205.0,20100.0,0.0,0.0
KENDRAPARA,ODISHA,2019-2020,20905.0,20905.0,20548.0,0.0,0.0
KEONJHAR,ODISHA,2017-2018,32703.0,31921.0,31597.0,0.0,1502.0
KEONJHAR,ODISHA,2018-2019,32621.0,31591.0,31591.0,0.0,1742.0
KEONJHAR,ODISHA,2019-2020,32837.0,32507.0,31941.0,0.0,1654.0
KHAGARIA,BIHAR,2017-2018,55979.0,55230.0,54201.0,0.0,0.0
KHAGARIA,BIHAR,2018-2019,54314.0,52095.0,50295.0,0.0,0.0
KHAGARIA,BIHAR,2019-2020,58165.0,57013.0,55733.0,0.0,0.0
KHAMMAM,TELANGANA,2017-2018,21061.0,20775.0,20775.0,0.0,1816.0
KHAMMAM,TELANGANA,2018-2019,20446.0,20397.0,20397.0,0.0,1817.0
KHAMMAM,TELANGANA,2019-2020,22824.0,22393.0,22354.0,0.0,2494.0
KHANDWA,MADHYA PRADESH,2017-2018,26953.0,26216.0,25704.0,37.0,2999.0
KHANDWA,MADHYA PRADESH,2018-2019,28892.0,28097.0,27594.0,239.0,3435.0
KHANDWA,MADHYA PRADESH,2019-2020,27512.0,27065.0,26758.0,358.0,3511.0
KHARGONE,MADHYA PRADESH,2017-2018,41242.0,39745.0,39566.0,0.0,4092.0
KHARGONE,MADHYA PRADESH,2018-2019,41723.0,40275.0,39432.0,0.0,4118.0
KHARGONE,MADHYA PRADESH,2019-2020,43668.0,42880.0,42174.0,0.0,4112.0
KHEDA,GUJARAT,2017-2018,46911.0,45908.0,45908.0,1170.0,5863.0
KHEDA,GUJARAT,2018-2019,45217.0,44283.0,44283.0,1168.0,4704.0
KHEDA,GUJARAT,2019-2020,40526.0,40113.0,40113.0,895.0,3152.0
KHORDHA,ODISHA,2017-2018,30936.0,30936.0,30936.0,0.0,9077.0
KHORDHA,ODISHA,2018-2019,33366.0,32906.0,32906.0,1971.0,9696.0
KHORDHA,ODISHA,2019-2020,33108.0,32892.0,32687.0,1631.0,10084.0
KHOWAI,TRIPURA,2017-2018,4477.0,4251.0,4007.0,0.0,0.0
KHOWAI,TRIPURA,2018-2019,4250.0,4090.0,3970.0,0.0,0.0
KHOWAI,TRIPURA,2019-2020,4184.0,4014.0,3865.0,0.0,0.0
KHUNTI,JHARKHAND,2017-2018,12405.0,12314.0,12314.0,0.0,0.0
KHUNTI,JHARKHAND,2018-2019,12249.0,12203.0,11923.0,0.0,0.0
KHUNTI,JHARKHAND,2019-2020,12402.0,12334.0,12329.0,0.0,0.0
KINNAUR,HIMACHAL PRADESH,2017-2018,962.0,962.0,962.0,0.0,0.0
KINNAUR,HIMACHAL PRADESH,2018-2019,918.0,918.0,918.0,0.0,0.0
KINNAUR,HIMACHAL PRADESH,2019-2020,942.0,942.0,942.0,0.0,0.0
KIPHIRE,NAGALAND,2017-2018,932.0,869.0,844.0,0.0,0.0
KIPHIRE,NAGALAND,2018-2019,970.0,902.0,825.0,0.0,0.0
KIPHIRE,NAGALAND,2019-2020,1043.0,1001.0,980.0,0.0,0.0
KISHANGANJ,BIHAR,2017-2018,48625.0,48625.0,46513.0,316.0,0.0
KISHANGANJ,BIHAR,2018-2019,49716.0,49716.0,49716.0,197.0,0.0
KISHANGANJ,BIHAR,2019-2020,52612.0,52612.0,51490.0,81.0,0.0
KISHTWAR,JAMMU & KASHMIR,2017-2018,4175.0,4175.0,4175.0,0.0,0.0
KISHTWAR,JAMMU & KASHMIR,2018-2019,3960.0,3960.0,3960.0,0.0,0.0
KISHTWAR,JAMMU & KASHMIR,2019-2020,4342.0,4303.0,4303.0,0.0,0.0
KOCH BIHAR,WEST BENGAL,2017-2018,47927.0,47002.0,46711.0,0.0,1343.0
KOCH BIHAR,WEST BENGAL,2018-2019,48577.0,47634.0,47057.0,0.0,1321.0
KOCH BIHAR,WEST BENGAL,2019-2020,49195.0,48531.0,48191.0,0.0,1401.0
KODAGU,KARNATAKA,2017-2018,7901.0,7901.0,7001.0,140.0,367.0
KODAGU,KARNATAKA,2018-2019,8352.0,8094.0,7541.0,226.0,434.0
KODAGU,KARNATAKA,2019-2020,7892.0,7610.0,7241.0,122.0,340.0
KODARMA,JHARKHAND,2017-2018,18913.0,18135.0,17991.0,380.0,195.0
KODARMA,JHARKHAND,2018-2019,18449.0,17926.0,17503.0,423.0,170.0
KODARMA,JHARKHAND,2019-2020,18918.0,18347.0,18347.0,356.0,306.0
KOHIMA,NAGALAND,2017-2018,2838.0,2789.0,2673.0,422.0,318.0
KOHIMA,NAGALAND,2018-2019,2779.0,2676.0,2574.0,336.0,319.0
KOHIMA,NAGALAND,2019-2020,3015.0,2800.0,2783.0,414.0,302.0
KOKRAJHAR,ASSAM,2017-2018,16538.0,16080.0,15735.0,0.0,0.0
KOKRAJHAR,ASSAM,2018-2019,15762.0,15601.0,15456.0,0.0,0.0
KOKRAJHAR,ASSAM,2019-2020,15959.0,15937.0,15799.0,0.0,0.0
KOLAR,KARNATAKA,2017-2018,26936.0,25193.0,25193.0,478.0,6556.0
KOLAR,KARNATAKA,2018-2019,27321.0,25802.0,25802.0,429.0,7109.0
KOLAR,KARNATAKA,2019-2020,25222.0,23877.0,23877.0,225.0,6343.0
KOLASIB,MIZORAM,2017-2018,1441.0,1384.0,1321.0,0.0,0.0
KOLASIB,MIZORAM,2018-2019,1511.0,1511.0,1403.0,0.0,0.0
KOLASIB,MIZORAM,2019-2020,1536.0,1514.0,1467.0,0.0,0.0
KOLHAPUR,MAHARASHTRA,2017-2018,57795.0,57795.0,57795.0,2918.0,7181.0
KOLHAPUR,MAHARASHTRA,2018-2019,55886.0,55620.0,55620.0,3009.0,11176.0
KOLHAPUR,MAHARASHTRA,2019-2020,57216.0,56392.0,56392.0,676.0,12970.0
KOLKATA,WEST BENGAL,2017-2018,42064.0,39756.0,38796.0,5071.0,33673.0
KOLKATA,WEST BENGAL,2018-2019,41975.0,40300.0,38104.0,4676.0,32462.0
KOLKATA,WEST BENGAL,2019-2020,37827.0,37367.0,36337.0,3752.0,30078.0
KOLLAM,KERALA,2017-2018,33331.0,33331.0,32859.0,5121.0,10219.0
KOLLAM,KERALA,2018-2019,32227.0,32227.0,32227.0,4817.0,9192.0
KOLLAM,KERALA,2019-2020,31421.0,31395.0,31395.0,4507.0,9106.0
KOMARAM BHEEM,TELANGANA,2017-2018,8820.0,8767.0,8767.0,0.0,591.0
KOMARAM BHEEM,TELANGANA,2018-2019,8534.0,8534.0,8534.0,0.0,671.0
KOMARAM BHEEM,TELANGANA,2019-2020,9222.0,9222.0,9222.0,0.0,809.0
KONDAGAON,CHHATTISGARH,2017-2018,12339.0,12104.0,12104.0,0.0,0.0
KONDAGAON,CHHATTISGARH,2018-2019,12439.0,12130.0,12062.0,0.0,0.0
KONDAGAON,CHHATTISGARH,2019-2020,12201.0,12056.0,12056.0,0.0,0.0
KOPPAL,KARNATAKA,2017-2018,31591.0,30698.0,30391.0,106.0,1799.0
KOPPAL,KARNATAKA,2018-2019,32688.0,31888.0,31697.0,74.0,3858.0
KOPPAL,KARNATAKA,2019-2020,31402.0,30880.0,30880.0,21.0,3838.0
KORAPUT,ODISHA,2017-2018,26923.0,26230.0,25511.0,181.0,1761.0
KORAPUT,ODISHA,2018-2019,28575.0,28410.0,28059.0,250.0,1562.0
KORAPUT,ODISHA,2019-2020,26484.0,26484.0,26484.0,234.0,2343.0
KORBA,CHHATTISGARH,2017-2018,28975.0,28314.0,28314.0,242.0,8440.0
KORBA,CHHATTISGARH,2018-2019,28163.0,28096.0,28096.0,87.0,8647.0
KORBA,CHHATTISGARH,2019-2020,28756.0,28392.0,28392.0,404.0,9058.0
KORIYA,CHHATTISGARH,2017-2018,12785.0,12785.0,12710.0,0.0,14.0
KORIYA,CHHATTISGARH,2018-2019,12937.0,12926.0,12926.0,0.0,136.0
KORIYA,CHHATTISGARH,2019-2020,13112.0,13112.0,13112.0,0.0,1.0
KOTA,RAJASTHAN,2017-2018,38916.0,37722.0,37257.0,6774.0,23037.0
KOTA,RAJASTHAN,2018-2019,38189.0,36697.0,36207.0,5674.0,21895.0
KOTA,RAJASTHAN,2019-2020,34312.0,33133.0,32512.0,3192.0,20407.0
KOTTAYAM,KERALA,2017-2018,25865.0,24307.0,24145.0,6167.0,1297.0
KOTTAYAM,KERALA,2018-2019,24967.0,23435.0,23163.0,4931.0,1179.0
KOTTAYAM,KERALA,2019-2020,22654.0,21570.0,21570.0,3658.0,1062.0
KOZHIKKODE,KERALA,2017-2018,51540.0,49081.0,47030.0,8004.0,7225.0
KOZHIKKODE,KERALA,2018-2019,48806.0,47618.0,46297.0,5958.0,6480.0
KOZHIKKODE,KERALA,2019-2020,46746.0,45219.0,44649.0,4814.0,5781.0
KRA DAADI,ARUNACHAL PRADESH,2017-2018,180.0,180.0,167.0,0.0,0.0
KRA DAADI,ARUNACHAL PRADESH,2018-2019,193.0,193.0,191.0,0.0,0.0
KRA DAADI,ARUNACHAL PRADESH,2019-2020,102.0,97.0,97.0,0.0,0.0
KRISHNA,ANDHRA PRADESH,2017-2018,70741.0,70709.0,70709.0,0.0,18694.0
KRISHNA,ANDHRA PRADESH,2018-2019,77712.0,77109.0,77109.0,0.0,22586.0
KRISHNA,ANDHRA PRADESH,2019-2020,80348.0,80012.0,80012.0,2951.0,28110.0
KRISHNAGIRI,TAMIL NADU,2017-2018,25277.0,25069.0,25069.0,870.0,3036.0
KRISHNAGIRI,TAMIL NADU,2018-2019,26771.0,26430.0,26332.0,1403.0,3667.0
KRISHNAGIRI,TAMIL NADU,2019-2020,27298.0,26929.0,26929.0,1604.0,3929.0
KULGAM,JAMMU & KASHMIR,2017-2018,9727.0,9727.0,9727.0,0.0,0.0
KULGAM,JAMMU & KASHMIR,2018-2019,10840.0,10656.0,10552.0,0.0,0.0
KULGAM,JAMMU & KASHMIR,2019-2020,11099.0,10990.0,10808.0,0.0,0.0
KULLU,HIMACHAL PRADESH,2017-2018,6462.0,6314.0,6314.0,51.0,0.0
KULLU,HIMACHAL PRADESH,2018-2019,6441.0,6441.0,6424.0,5.0,0.0
KULLU,HIMACHAL PRADESH,2019-2020,6205.0,6205.0,6205.0,2.0,0.0
KUPWARA,JAMMU & KASHMIR,2017-2018,16950.0,16950.0,16882.0,0.0,0.0
KUPWARA,JAMMU & KASHMIR,2018-2019,18238.0,17218.0,16783.0,0.0,0.0
KUPWARA,JAMMU & KASHMIR,2019-2020,16414.0,15317.0,15035.0,0.0,0.0
KURNOOL,ANDHRA PRADESH,2017-2018,75147.0,72723.0,72723.0,516.0,8656.0
KURNOOL,ANDHRA PRADESH,2018-2019,81536.0,77171.0,77171.0,4398.0,14938.0
KURNOOL,ANDHRA PRADESH,2019-2020,79717.0,76539.0,72299.0,6615.0,15691.0
KURUKSHETRA,HARYANA,2017-2018,16838.0,16543.0,16212.0,0.0,2844.0
KURUKSHETRA,HARYANA,2018-2019,15999.0,15707.0,15360.0,0.0,2329.0
KURUKSHETRA,HARYANA,2019-2020,15427.0,15314.0,15296.0,0.0,2399.0
KURUNG KUMEY,ARUNACHAL PRADESH,2017-2018,690.0,685.0,660.0,0.0,0.0
KURUNG KUMEY,ARUNACHAL PRADESH,2018-2019,558.0,548.0,528.0,0.0,0.0
KURUNG KUMEY,ARUNACHAL PRADESH,2019-2020,466.0,435.0,426.0,0.0,0.0
KUSHINAGAR,UTTAR PRADESH,2017-2018,75860.0,74351.0,73741.0,0.0,454.0
KUSHINAGAR,UTTAR PRADESH,2018-2019,83962.0,77537.0,74666.0,0.0,417.0
KUSHINAGAR,UTTAR PRADESH,2019-2020,92965.0,87728.0,87728.0,4777.0,4394.0
LAHUL SPITI,HIMACHAL PRADESH,2017-2018,268.0,268.0,268.0,0.0,0.0
LAHUL SPITI,HIMACHAL PRADESH,2018-2019,240.0,240.0,240.0,0.0,0.0
LAHUL SPITI,HIMACHAL PRADESH,2019-2020,178.0,178.0,178.0,0.0,0.0
LAKHIMPUR,ASSAM,2017-2018,20029.0,19555.0,18927.0,760.0,836.0
LAKHIMPUR,ASSAM,2018-2019,19740.0,19289.0,18903.0,854.0,858.0
LAKHIMPUR,ASSAM,2019-2020,19645.0,19645.0,19558.0,838.0,869.0
LAKHIMPUR KHERI,UTTAR PRADESH,2017-2018,101853.0,99627.0,95547.0,0.0,3340.0
LAKHIMPUR KHERI,UTTAR PRADESH,2018-2019,90264.0,84201.0,82546.0,5.0,2392.0
LAKHIMPUR KHERI,UTTAR PRADESH,2019-2020,102584.0,97978.0,97978.0,25.0,3040.0
LAKHISARAI,BIHAR,2017-2018,26732.0,26732.0,26732.0,0.0,9066.0
LAKHISARAI,BIHAR,2018-2019,26934.0,26259.0,25933.0,0.0,9795.0
LAKHISARAI,BIHAR,2019-2020,27322.0,27322.0,27322.0,0.0,9776.0
LAKSHADWEEP,LAKSHADWEEP,2017-2018,1044.0,1013.0,963.0,0.0,0.0
LAKSHADWEEP,LAKSHADWEEP,2018-2019,1082.0,1078.0,1055.0,0.0,0.0
LAKSHADWEEP,LAKSHADWEEP,2019-2020,1075.0,1055.0,1017.0,0.0,0.0
LALITPUR,UTTAR PRADESH,2017-2018,31823.0,31414.0,31414.0,475.0,3427.0
LALITPUR,UTTAR PRADESH,2018-2019,30907.0,29559.0,29454.0,178.0,2649.0
LALITPUR,UTTAR PRADESH,2019-2020,30567.0,29975.0,29975.0,47.0,2522.0
LATEHAR,JHARKHAND,2017-2018,19550.0,19435.0,18937.0,0.0,0.0
LATEHAR,JHARKHAND,2018-2019,18678.0,18454.0,18089.0,0.0,0.0
LATEHAR,JHARKHAND,2019-2020,18761.0,18451.0,18264.0,0.0,0.0
LATUR,MAHARASHTRA,2017-2018,45935.0,43625.0,42908.0,10.0,9818.0
LATUR,MAHARASHTRA,2018-2019,44939.0,43436.0,42741.0,267.0,8808.0
LATUR,MAHARASHTRA,2019-2020,47979.0,45272.0,42895.0,0.0,12578.0
LAWNGTLAI,MIZORAM,2017-2018,2191.0,1991.0,1940.0,28.0,0.0
LAWNGTLAI,MIZORAM,2018-2019,2208.0,2081.0,2008.0,22.0,0.0
LAWNGTLAI,MIZORAM,2019-2020,2625.0,2491.0,2358.0,28.0,0.0
LEH LADAKH,JAMMU & KASHMIR,2017-2018,1641.0,1641.0,1641.0,0.0,0.0
LEH LADAKH,JAMMU & KASHMIR,2018-2019,1715.0,1675.0,1646.0,0.0,0.0
LEH LADAKH,JAMMU & KASHMIR,2019-2020,1558.0,1502.0,1502.0,0.0,0.0
LOHARDAGA,JHARKHAND,2017-2018,13151.0,12762.0,12762.0,281.0,0.0
LOHARDAGA,JHARKHAND,2018-2019,12935.0,12724.0,12624.0,239.0,0.0
LOHARDAGA,JHARKHAND,2019-2020,13393.0,13045.0,13045.0,252.0,0.0
